信用卡,13557
交通银行,4406
还款,4393
银行,3790
额度,3657
卡神,2792
申请,2725
积分,2288
消费,2252
介绍,2251
交行,2166
以上,1873
请,1769
小编,1748
账单,1663
卡,1553
持卡人,1503
信用,1502
元,1501
取现,1481
关注,1446
日,1407
知识,1394
月,1387
频道,1386
使用,1333
刷卡,1250
查询,1248
记录,1079
交易,1015
需要,1007
后,920
信息,910
金额,898
利息,874
最低,869
进行,835
服务,803
人民币,784
手续费,774
证明,774
办理,737
情况,685
密码,679
电话,677
账户,657
时,655
兑换,638
方式,634
收取,597
选择,588
支付,584
提供,583
逾期,578
自动,568
临时,565
中,564
卡片,554
还款额,549
现金,540
即可,534
客户,531
超过,507
提额,505
解答,502
年费,499
天,499
提醒,494
美元,492
到期,490
时间,482
高,451
激活,445
年,444
欠款,435
登录,425
一定,425
每月,423
工作,413
直接,394
人,392
商户,388
刷,383
提高,383
境外,382
需,381
分,375
转账,375
影响,366
拨打,366
部分,365
享受,364
未,363
下,360
收费,359
活动,356
透支,352
客服,348
网上,347
热线,340
金卡,337
资料,336
方法,335
功能,334
短信,332
不良,331
里程,329
规定,327
偿还,324
附属,321
收入,318
网上银行,316
开通,315
最高,312
成功,312
好,308
免息期,308
产生,306
用户,306
申请人,306
网点,303
借记卡,302
中心,302
最,301
可用,301
复印件,297
建议,295
有效期,291
溢,290
标准,289
再,289
万,288
用卡,285
之后,284
优惠,277
交通,277
包括,277
安全,274
银行卡,274
是否,273
钱,270
手机,269
办卡,268
已,266
固定,266
条件,265
系统,265
无法,265
审核,264
号,264
存款,263
万元,261
业务,261
所有,260
境内,259
致电,259
贷款,257
提升,255
征信,255
个人信用,255
最好,252
具体,252
相关,251
注意,251
全额,251
只,251
填写,251
主卡,250
网上支付,249
累计,248
输入,245
以下,244
发卡,244
小时,241
滞纳金,240
费用,238
银联,238
限额,236
每日,235
合并,235
余额,235
还清,230
计算,230
一个,228
累积,225
网站,224
保障,222
身份证,221
网银,221
